access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,mode
write,919.8035,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,profile
read,2818.7527,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,profile
write,736.3596,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,profile
read,2849.3913,894784.8533,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,profile
write,919.8035,300936.6099,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,profile
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,profile
write,1614.3969,1618.7583,0.0006,16384.0000,1024.0000,0.0000,0.0099,0.0000,0.0099,1,0,selective
read,10369.1075,10396.4158,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,0,selective
write,1737.4463,1741.3686,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,1,selective
read,14993.0438,15067.1001,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,1,selective
write,1745.5811,1749.4034,0.0006,16384.0000,1024.0000,0.0000,0.0091,0.0000,0.0092,1,2,selective
read,15595.8317,15657.6911,0.0001,16384.0000,1024.0000,0.0000,0.0010,0.0000,0.0010,1,2,selective
write,1744.4467,1748.2641,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0092,1,3,selective
read,15734.7864,15794.0372,0.0001,16384.0000,1024.0000,0.0000,0.0010,0.0000,0.0010,1,3,selective
write,1682.9809,1686.7033,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0095,1,4,selective
read,13582.0409,13640.0130,0.0001,16384.0000,1024.0000,0.0000,0.0012,0.0000,0.0012,1,4,selective
write,590.4144,232210.6021,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,selective
read,2702.5155,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,selective
write,894.6894,296941.8761,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,selective
read,2818.7527,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,selective
write,932.8968,300936.6099,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,selective
read,2818.7527,883011.3684,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,selective
write,919.8035,295633.7621,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,selective
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,selective
write,946.3682,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,selective
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,selective
write,1580.0731,1586.5355,0.0006,16384.0000,1024.0000,0.0000,0.0101,0.0000,0.0101,1,0,trace
read,10631.9493,10672.5293,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,0,trace
write,1701.7589,1705.7384,0.0006,16384.0000,1024.0000,0.0000,0.0094,0.0000,0.0094,1,1,trace
read,15370.7888,15430.8724,0.0001,16384.0000,1024.0000,0.0000,0.0010,0.0000,0.0010,1,1,trace
write,1728.5852,1732.5570,0.0006,16384.0000,1024.0000,0.0000,0.0092,0.0000,0.0093,1,2,trace
read,15107.8037,15179.5666,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,2,trace
write,1710.8697,1714.7166,0.0006,16384.0000,1024.0000,0.0000,0.0093,0.0000,0.0094,1,3,trace
read,14181.9239,14236.0764,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,3,trace
write,1711.4369,1715.0672,0.0006,16384.0000,1024.0000,0.0000,0.0093,0.0000,0.0093,1,4,trace
read,14966.2944,15036.7161,0.0001,16384.0000,1024.0000,0.0000,0.0011,0.0000,0.0011,1,4,trace
write,637.8200,228261.4422,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,trace
read,2702.5155,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,trace
write,879.6779,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,trace
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,trace
write,916.5874,295633.7621,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,trace
read,2404.9908,729444.1739,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,trace
write,916.5874,300936.6099,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,trace
read,2818.7527,894784.8533,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,trace
write,932.8968,302292.1802,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,trace
read,2978.9091,894784.8533,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,trace
