source,target,weight
fc,gc,1.0
fd,fy,1.0
fd,ga,0.333
fd,gc,0.333
fe,fg,0.5
fe,fk,1.0
fe,gf,0.5
fe,gj,1.0
fe,gm,1.0
fe,hd,0.5
fe,hi,1.0
fe,hk,1.0
ff,fj,0.125
ff,fl,0.143
ff,gg,0.25
ff,gl,0.333
ff,go,0.333
fg,fk,1.0
fg,gf,0.5
fg,gj,1.0
fg,gm,1.0
fg,hd,0.5
fg,hi,1.0
fg,hk,1.0
fh,fk,0.5
fh,gf,1.0
fh,gi,1.0
fh,gj,1.0
fh,gm,1.0
fh,gn,1.0
fh,gu,1.0
fh,hd,1.0
fh,hh,1.0
fh,hi,1.0
fh,hk,1.0
fh,hl,1.0
fh,hn,1.0
fi,fn,0.5
fi,fo,0.333
fi,fq,1.0
fi,gk,0.2
fi,gr,0.5
fi,gs,0.333
fi,gu,0.25
fj,fl,0.143
fj,gg,0.333
fj,gl,0.333
fj,go,0.333
fk,gf,0.5
fk,gi,0.5
fk,gj,0.5
fk,gm,0.5
fk,gn,0.5
fk,gu,0.5
fk,hd,0.5
fk,hh,0.5
fk,hi,0.5
fk,hk,0.5
fk,hl,0.5
fk,hn,0.5
fl,gg,0.333
fl,gl,0.333
fl,go,0.333
fm,fq,0.5
fm,fs,0.5
fm,gp,0.5
fm,gu,0.5
fm,gw,0.5
fm,hp,1.0
fn,fq,0.25
fn,fs,0.5
fn,gk,0.5
fn,gq,0.333
fn,gr,0.5
fn,gu,0.2
fn,gw,0.5
fo,gk,0.333
fo,gs,0.333
fo,gu,0.5
fp,fs,0.25
fp,fu,0.25
fp,gu,0.25
fp,gw,0.25
fp,gx,1.0
fp,gy,0.5
fp,hp,1.0
fp,hr,1.0
fq,fs,0.167
fq,gk,1.0
fq,gp,0.5
fq,gq,0.333
fq,gr,1.0
fq,gu,0.125
fq,gw,0.167
fq,hp,1.0
fr,ft,0.333
fs,ft,0.5
fs,fu,0.167
fs,gp,0.5
fs,gq,0.5
fs,gu,0.083
fs,gw,0.077
fs,gx,0.5
fs,gy,0.5
fs,hp,0.2
fs,hr,0.333
fu,gu,0.2
fu,gw,0.167
fu,gx,0.5
fu,gy,0.5
fu,hp,0.333
fu,hr,0.333
fv,fy,0.5
fv,gb,1.0
fv,gz,1.0
fv,hb,1.0
fw,fx,0.333
fy,ga,1.0
fy,gb,0.167
fy,gc,0.333
fy,gz,0.5
fy,hb,0.5
fz,gd,0.333
fz,ge,0.2
fz,gh,0.333
fz,ha,1.0
fz,hc,0.125
fz,he,0.167
fz,hg,0.333
fz,ht,0.5
fz,hv,0.5
fz,hx,0.333
ga,gc,0.333
gb,gc,0.5
gb,gz,0.5
gb,hb,0.5
gd,hc,0.5
gd,he,1.0
ge,gh,0.333
ge,hc,0.2
ge,he,0.2
ge,hg,0.333
ge,ht,0.5
ge,hv,0.5
ge,hx,0.333
gf,gj,0.25
gf,gm,0.25
gf,hd,0.2
gf,hi,0.25
gf,hk,0.25
gf,hx,1.0
gg,gl,0.333
gg,go,0.333
gh,hc,0.333
gh,he,0.333
gh,hg,0.333
gh,hx,0.5
gi,gn,0.333
gi,gu,0.333
gi,hh,0.333
gi,hl,0.333
gi,hn,0.333
gj,gm,0.2
gj,hd,0.25
gj,hi,0.2
gj,hk,0.2
gj,hx,1.0
gk,gr,0.5
gk,gs,0.333
gk,gu,0.25
gl,go,0.333
gm,hd,0.25
gm,hi,0.2
gm,hk,0.2
gm,hx,1.0
gn,gu,0.333
gn,hh,0.333
gn,hl,0.333
gn,hn,0.333
gp,gu,0.5
gp,gw,0.5
gp,hp,1.0
gq,gu,0.333
gq,gw,0.5
gr,gu,0.5
gs,gu,0.5
gt,gv,0.333
gt,hm,0.333
gt,hq,0.333
gt,hs,0.5
gt,hz,0.333
gu,gw,0.083
gu,gx,1.0
gu,gy,0.5
gu,hf,1.0
gu,hh,0.333
gu,hl,0.333
gu,hn,0.2
gu,hp,0.25
gu,hr,0.5
gu,hy,1.0
gu,ia,1.0
gv,hm,0.333
gv,hq,0.333
gv,hs,0.5
gv,hz,0.333
gw,gx,0.5
gw,gy,0.5
gw,hp,0.2
gw,hr,0.333
gx,hp,0.5
gx,hr,0.5
gz,hb,0.5
ha,hc,0.5
hc,he,0.091
hc,hg,0.2
hc,ht,0.333
hc,hu,0.333
hc,hv,0.333
hc,hw,0.25
hc,hx,0.167
hd,hi,0.25
hd,hk,0.25
hd,hx,1.0
he,hg,0.167
he,ht,0.333
he,hu,0.333
he,hv,0.333
he,hw,0.2
he,hx,0.143
hf,hj,0.2
hf,hn,1.0
hf,ho,0.333
hf,hy,0.167
hf,ia,0.25
hg,hu,1.0
hg,hw,0.333
hg,hx,0.2
hh,hl,0.333
hh,hn,0.333
hi,hk,0.2
hi,hx,1.0
hj,ho,0.333
hj,hy,0.2
hj,ia,0.333
hk,hx,1.0
hl,hn,0.333
hm,hq,0.167
hm,hs,0.25
hm,hz,0.167
hn,hy,1.0
hn,ia,1.0
ho,hy,0.333
ho,ia,0.333
hp,hr,0.333
hq,hs,0.25
hq,hz,0.167
hs,hz,0.25
ht,hv,0.333
ht,hx,1.0
hu,hw,0.333
hu,hx,0.5
hv,hx,1.0
hw,hx,0.25
hy,ia,0.25
