ORISPL, $ Work Loss Days , $ Asthma Exacerbation ,Distance Score,Proximity to Retirement,group
6139," $ 370,082 "," $ 29,640 ",0.0,Retiring,3
6146," $ 1,584,324 "," $ 126,731 ",0.25,Mid-Proximity,3
6155," $ 719,423 "," $ 55,951 ",0.25,Retiring,6
6165," $ 346,311 "," $ 28,488 ",0.25,Mid-Proximity,4
6166," $ 921,954 "," $ 70,986 ",0.0,Retiring,3
6177," $ 63,153 "," $ 5,039 ",0.0,Retiring,0
6178," $ 584,481 "," $ 48,957 ",0.0,Retiring,3
6179," $ 161,335 "," $ 13,481 ",0.0,High Proximity,3
6180," $ 429,615 "," $ 34,987 ",0.38,Low-Proximity,4
6181,,,0.0,Retiring,3
6183," $ 340,719 "," $ 28,654 ",0.67,Low-Proximity,4
6190," $ 211,623 "," $ 17,448 ",0.0,Retiring,0
6193," $ 255,352 "," $ 20,242 ",0.0,Retiring,0
6194," $ 186,935 "," $ 14,766 ",0.0,Retiring,3
6195," $ 104,770 "," $ 8,159 ",0.46,Low-Proximity,4
6204," $ 345,269 "," $ 27,854 ",inf,Far from Retirement,7
6213," $ 177,573 "," $ 13,701 ",0.0,Retiring,4
6248," $ 55,936 "," $ 4,449 ",0.0,Retiring,2
6249," $ 31,799 "," $ 2,392 ",0.0,Retiring,0
6250," $ 128,686 "," $ 9,598 ",0.0,Retiring,0
6254," $ 142,660 "," $ 11,116 ",0.75,Far from Retirement,4
6257," $ 157,449 "," $ 12,179 ",inf,Far from Retirement,1
6264," $ 391,992 "," $ 28,847 ",0.33,Mid-Proximity,4
6288,,,inf,Far from Retirement,5
6469," $ 725,835 "," $ 56,760 ",inf,Far from Retirement,7
6481," $ 248,876 "," $ 20,815 ",0.0,Retiring,4
6641," $ 825,811 "," $ 64,519 ",0.0,Retiring,3
6664," $ 398,123 "," $ 30,880 ",0.25,Mid-Proximity,4
6761," $ 51,841 "," $ 4,075 ",0.0,Retiring,2
6768," $ 252,551 "," $ 19,610 ",0.46,Low-Proximity,4
6772," $ 57,484 "," $ 4,647 ",0.92,Far from Retirement,4
6823," $ 297,350 "," $ 22,748 ",inf,Far from Retirement,5
7030," $ 156,317 "," $ 12,731 ",0.67,Low-Proximity,4
7097," $ 73,611 "," $ 6,209 ",0.0,Retiring,3
7213," $ 57,028 "," $ 4,215 ",0.0,High Proximity,0
7242,,,0.17,Mid-Proximity,0
7343," $ 82,200 "," $ 6,615 ",1.25,Far from Retirement,4
7504," $ 21,363 "," $ 1,719 ",1.25,Far from Retirement,4
7790," $ 145,411 "," $ 11,982 ",0.0,Retiring,4
8023," $ 141,618 "," $ 10,877 ",0.0,Retiring,6
8042," $ 405,312 "," $ 30,134 ",0.0,High Proximity,0
8066," $ 714,060 "," $ 57,197 ",0.25,Retiring,4
8069," $ 190,087 "," $ 15,632 ",0.0,Retiring,4
8102," $ 2,352,099 "," $ 174,254 ",0.25,Mid-Proximity,3
8219," $ 38,168 "," $ 3,041 ",0.0,Retiring,2
8222," $ 702,529 "," $ 54,944 ",inf,Far from Retirement,7
8223," $ 416,069 "," $ 32,882 ",inf,Far from Retirement,1
8224," $ 239,341 "," $ 18,898 ",0.0,Retiring,2
10143," $ 235,281 "," $ 17,029 ",2.0,Far from Retirement,0
10151," $ 172,134 "," $ 12,446 ",1.25,Far from Retirement,4
10603," $ 114,882 "," $ 8,315 ",2.0,Far from Retirement,0
10671," $ 21,013 "," $ 1,684 ",inf,Far from Retirement,5
10784,,,0.0,High Proximity,4
50030,,,0.0,High Proximity,0
50308,,,0.0,High Proximity,4
50611," $ 31,109 "," $ 2,273 ",2.0,Far from Retirement,0
50776,,,2.0,Far from Retirement,0
50888,,,2.0,Far from Retirement,0
50951,,,0.25,Mid-Proximity,4
50974,,,2.0,Far from Retirement,0
55076," $ 111,801 "," $ 8,764 ",1.58,Far from Retirement,4
55479," $ 23,712 "," $ 1,907 ",1.25,Far from Retirement,4
55749," $ 9,800 ", $ 781 ,0.5,Low-Proximity,4
55856," $ 747,865 "," $ 57,669 ",,,Unclustered
56068," $ 84,625 "," $ 6,480 ",0.0,High Proximity,6
56224," $ 14,735 "," $ 1,184 ",0.0,High Proximity,2
56319," $ 11,629 ", $ 935 ,1.25,Far from Retirement,4
56456," $ 175,414 "," $ 13,665 ",inf,Far from Retirement,5
56564," $ 27,290 "," $ 2,170 ",inf,Far from Retirement,5
56596," $ 12,933 "," $ 1,040 ",1.25,Far from Retirement,4
56609," $ 39,793 "," $ 3,200 ",0.25,Mid-Proximity,4
56611," $ 174,680 "," $ 14,329 ",0.92,Far from Retirement,4
56671," $ 260,460 "," $ 18,933 ",1.25,Far from Retirement,4
56808," $ 21,495 "," $ 1,589 ",0.0,High Proximity,2
